thps3_gc_unlock_all_cheats: 0x3F347923,0x7E12ACC2
thps3_gc_cheat_give_everything: 0x5318E289,0xB48F12CC
thps3_gc_cheat_give_levels: 0x1039AC4D,0xF4CF6E3E
thps3_gc_cheat_give_skaters: 0xD020D4AC,0x2CE11D80
thps3_gc_cheat_give_neversoft_skaters: 0x98BD712B,0x0E2CFFD2
thps3_gc_cleargame: 0x4C336F0D,0xFC7EA355
thps3_gc_AllDecks: 0x324B1754,0xBAC1DF50
thps3_gc_AllStats: 0x22327814,0x0F8CEF40
thps3_gc_cheat_unlockmovies: 0xBD3B6E27,0x1DA95765
thps3_pc_ps2_unlock_all_cheats: 0x24C8DD2E,0x96514937
thps3_pc_ps2_cheat_give_everything: 0x0E05FD15,0xE2DEFC09
thps3_pc_ps2_cheat_give_levels: 0x16A22ABE,0x61463EEB
thps3_pc_ps2_cheat_give_skaters: 0x71A9ADFE,0x63063591
thps3_pc_ps2_cheat_give_neversoft_skaters: 0x98BD712B,0x0E2CFFD2
thps3_pc_ps2_cleargame: 0x60694ED8,0x05069A30
thps3_pc_ps2_AllDecks: 0x094D9645,0x184A851C
thps3_pc_ps2_AllStats: 0x26E19F99,0x13EF7525
thps3_pc_ps2_cheat_unlockmovies: 0x5C86AC96,0xD24A2694
thps3_pc_ps2_cheat_unlockdoomguy: 0x867C713B,0x1B846779
thps3_xbox_unlock_all_cheats: 0xFDBCC9EC,0x683A685B
thps3_xbox_cheat_give_everything: 0x0AD2F628,0x78C98FEC
thps3_xbox_cheat_give_levels: 0x3E9BDF9E,0xBA8B23F6
thps3_xbox_cheat_give_skaters: 0x5A7751CE,0x82AB945C
thps3_xbox_cheat_give_neversoft_skaters: 0x98BD712B,0x0E2CFFD2
thps3_xbox_cleargame: 0xCC19F4FD,0x87EF30D9
thps3_xbox_AllDecks: 0xC193921F,0x80800E79
thps3_xbox_AllStats: 0xDDA87D0B,0xDAA1926E
thps3_xbox_cheat_unlockmovies: 0x93263434,0xAF17253D
thps3_xbox_cheat_give_rig: 0xA595EA23,0xBAA07D5D
thps3_xbox_cheat_give_skaterX: 0x403FFDB5,0x81FAD62D
