0x00c16f4b,0xaa6fae66
0x00df3fae,0x87486e11
0x01ffa35f,0x251fac16
0x0348bebc,0x74bea191
0x057356f4,0x17649994
0x0582f01e,0x07936237
0x07a5cf7d,0x375a1f74
0x07d8f451,0x0d442a0b
0x0a2d3721,0x41161a4e
0x0a30ead7,0xde404dcc
0x0aefd740,0x366288a1
0x1068a0a1,0x7b87ea79
0x110ac632,0x5f910e9d
0x12174d71,0xe88f869f
0x126a5c61,0x1d01d74f
0x16294f2a,0xa0e0ed1b
0x16a174ba,0x6fc8c1ab
0x1a7826cd,0xf4a00780
0x1c5357ef,0xb89c6cd2
0x1e14699e,0x0ab5307e
0x2088e2f1,0x050c9ffd
0x25cc7d23,0x9cc8d957
0x26b57db3,0xbe857e2c
0x2ba1912e,0x55d2bf2b
0x2bc6af0c,0x2a87f17d
0x326b1186,0xdf86feaf
0x388b53d3,0xc637f6e0
0x38c53233,0x4b09284c
0x3e6f3645,0x7e0f5785
0x3e807eab,0x2571576a
0x3efb8d8c,0xd459436a
0x44c3ffc4,0x39c440e9
0x50242ffa,0xc8bd6da4
0x52544798,0x8424bd0d
0x566799cd,0x6e77e880
0x5a7cbe57,0x7b010728
0x5a945246,0x8872946d
0x5f933de3,0xddf4c93d
0x705409ae,0xd1ead314
0x70b9d3dd,0xcd0ee30d
0x712f8fc7,0xe8190893
0x732bd0c4,0x782c7586
0x765313c9,0xfe787f99
0x7e32e340,0x37a7146c
0x8264891e,0x12c6a814
0x884164ba,0x639b3804
0x9024760d,0x7196adba
0x95c15165,0xd9cd9403
0x97955edb,0x86e96311
0x9b0f07ac,0xf25bd27f
0xa7016369,0x465b6cd7
0xab4335d0,0x466c97b9
0xacbed728,0xc007f499
0xafca5c65,0x29f19baa
0xb08b921c,0x51b49436
0xb40ca46c,0x0b62342e
0xb7188105,0x2aa81522
0xb8fc141f,0x269a82e1
0xb9c394d4,0xd405d2ad
0xbedb3a1b,0x59921749
0xc052d84f,0x69a34dbc
0xc166bde0,0x31478b3c
0xc4f678de,0xcb1e7a78
0xc6b43a91,0x2af8a6de
0xc9384fb2,0xc3ea1f56
0xcab054ba,0x33fc7928
0xccf43a48,0x656633fc
0xcfeeb506,0xe8d77414
0xd1085b7c,0x37ca1f3b
0xd7ad8979,0xfc021690
0xd961fb66,0x0fbd1a6b
0xdb562768,0x9899aa08
0xdc22ebab,0xd3276f68
0xdd31aa41,0xb60d06fb
0xe362c8c3,0xc584c7cb
0xe5e38530,0x0d7b96d5
0xec16ec41,0x23e99c41
0xedef0d7b,0xcc81600b
0xf27f3e55,0x6be1c8bf
0xf2f93cab,0xeb376fb4
0xfca84525,0xcf3d6630
0xfcccbfd9,0xc5c3d3f1
0xff006d73,0x1b6ec0ea
