0x00df3fae,0x87486e11
0x0348bebc,0x74bea191
0x057356f4,0x17649994
0x0654d7bf,0x8597f022
0x094d9645,0x184a851c
0x09b1c99f,0xc97ead41
0x0ad2f628,0x78c98fec
0x0bf831fa,0x4daa2b03
0x0e05fd15,0xe2defc09
0x1039ac4d,0xf4cf6e3e
0x110ac632,0x5f910e9d
0x12174d71,0xe88f869f
0x126a5c61,0x1d01d74f
0x13bb6e37,0xa7180f6c
0x176082a9,0x9984ed54
0x1c5357ef,0xb89c6cd2
0x1cdc6eb8,0xd37c4ee0
0x1e006e43,0x122d1192
0x1e14699e,0x0ab5307e
0x21fe94e3,0xa79dbca1
0x29d747ee,0xdccb6f53
0x324b1754,0xbac1df50
0x326b1186,0xdf86feaf
0x385a6243,0x894abccf
0x3ba033c5,0x7f08ab9c
0x3d184444,0xec86442c
0x3e6f3645,0x7e0f5785
0x3e807eab,0x2571576a
0x3f347923,0x7e12acc2
0x44c3ffc4,0x39c440e9
0x455aab8e,0x806751bc
0x48d3a783,0xee2e1b89
0x4a0e4a95,0x3731c068
0x4c336f0d,0xfc7ea355
0x4cb3cb0e,0xaa62b12d
0x5154a7e1,0x59b52ac3
0x524e35d9,0xbf261062
0x5318e289,0xb48f12cc
0x53555c00,0x3e1dccb6
0x60694ed8,0x05069a30
0x60fc5a22,0xaef5b8a1
0x62830645,0xf49b4fbc
0x62881226,0x791826c0
0x63d78e87,0xe6b86fbb
0x6b46eb0b,0xa47e40a1
0x6f9b655f,0x0cf4d79a
0x765313c9,0xfe787f99
0x84373b57,0x12c6cc7a
0x9024760d,0x7196adba
0x93e19aae,0xed205e28
0x978bdf83,0xc88af276
0x99a28c34,0x9ecea24f
0x9ac1a4f5,0x93c1eb20
0x9b0f07ac,0xf25bd27f
0x9f5dc26b,0x813fc5c6
0xa0323c1f,0xd6e3cdb3
0xa0f7b3af,0xcdd0df7d
0xa19af7d4,0xf2fe172b
0xa7016369,0x465b6cd7
0xa85bf14b,0x8eaa6340
0xad428e60,0x575aae9e
0xafca5c65,0x29f19baa
0xb00422bb,0xa9d361c3
0xb7188105,0x2aa81522
0xb9c394d4,0xd405d2ad
0xbffb415a,0x96d388ed
0xc4b5d992,0xd951c8c2
0xc6b43a91,0x2af8a6de
0xc74ab5a0,0x32a5b91c
0xc7707244,0xef588086
0xc9384fb2,0xc3ea1f56
0xcc7336b8,0x5ca71bbb
0xcdb5dbad,0xfcc4b743
0xcfeeb506,0xe8d77414
0xd351f327,0x8a60d3f0
0xd7d4992a,0xb9617613
0xd883126b,0xaaec3415
0xda901b61,0x75e1254d
0xdbf573e3,0xeb55133e
0xdc099837,0xe9c85125
0xdcb9110b,0xdb67a3a6
0xdd31aa41,0xb60d06fb
0xe06fb3c1,0xfe3165c7
0xe18757d5,0x674461cf
0xe362c8c3,0xc584c7cb
0xe3743fb5,0xb1e92d8d
0xe547b163,0xca554446
0xee6ca9b5,0x6f46cf22
0xf27f3e55,0x6be1c8bf
0xf3f47424,0xb97919f2
0xf7025c3b,0x51d86c01
0xf7956636,0xd6781703
0xfa715011,0x267ffa85
0xfcccbfd9,0xc5c3d3f1
